Cidade_operador;So_Agua_yes;Nat_jur_B;Nat_jur_C;PIB_capta_2017;Urbaniz;POP_TOT;POP_URB;AG001;AG001A;AG002;AG002A;AG003;AG003A;AG005;AG005A;AG006;AG007;AG010;AG011;AG013;AG013A;AG021;AG021A;AG026;AG026A;AG028;ES001;ES001A;ES002;ES002A;ES003;ES003A;ES004;ES004A;ES005;ES006;ES007;ES009;ES009A;ES028;FN001;FN002;FN003;FN004;FN005;FN006;FN008;FN008A;FN010;FN011;FN013;FN014;FN015;FN016;FN017;FN018;FN019;FN020;FN021;FN022;FN023;FN024;FN025;FN026;FN026A;FN027;FN028;FN030;FN031;FN032;FN033;FN034;FN035;FN036;FN037;QD002;QD003;QD023;QD024
5.10E+13;0;1;0;26319.79;0.81;33224;27012;27012;26376;8629;8667;9238;9393;107.46;107;1912.41;1912.41;1290.27;1562.31;8370;8695;10234;10145;27012;26260;902.04;14073;13918;3461;3023;3667;3249;56;56;675.04;675.04;574.28;4126;3303;141.51;7079895.26;5141790.56;1938104.7;444717.84;7524613.1;7479588.8;1355682.93;1536410;825005.49;192750.79;536199.54;687402.88;3805522.37;2747558.44;7921214.15;0;904539.69;0;902471.69;463593.65;765057.16;62617.67;341658.04;22;20;661691.98;0;1169332.87;0;0;1169332.87;4338693.35;2747558.44;0;7086251.79;1;9;28726;27127
5.10E+13;1;1;0;28139.25;0.69;20513;14198;14198;13796;4742;4635;5208;5188;83.47;82;911.56;911.56;681.39;838.1;4902;4797;5481;5306;14198;13796;444.87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2955680.17;2955680.17;0;152755.18;3108435.35;3083395.99;418524.25;432150;597093.46;28942.76;236712.39;394529.03;1932185.96;656615.69;2956925.82;0;233402.61;0;371305.64;134721.56;270656.35;0;88966.76;13;14;303602.68;0;359623.11;0;0;359623.11;170000;656615.69;0;826615.69;0;0;20520;17966
5.11E+13;1;1;0;28665.66;0.56;12739;7160;12739;12388;2609;2579;2713;2681;38;32;648;648;480;480;2490;2439;2920;2908;7160;6963;400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1647018.34;1647018.34;0;0;1647018.34;1584622.84;62395.5;61064.66;161701.4;144200;268517.68;46044.04;755607.42;0;755607.42;504069.88;0;0;30482.64;0;0;0;0;8;8;104661.66;0;504069.88;0;0;504069.88;0;0;0;0;0;0;150;150
4.20E+13;1;1;0;17154.54;0.95;80834;76777;80026;77944;20793;18698;29913;27563;265.19;237;0;0;4260;4974.29;26334;24219;23036;22496;76010;74032;862.23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17349158.72;17349158.72;0;1844788.94;19193947.66;27472302.4;4470994.84;259422.08;2064449.09;0;444979.98;3334513.7;12852678.71;0;15582528.46;0;1098702.06;4544378.71;174889.23;1209762.06;6504341.48;326238.6;1127957.84;42;37;2289468;421385.63;0;7958537.92;0;7958537.92;0;0;0;0;0;0;32667;28691
3.51E+13;0;1;0;26596.41;0.82;30237;24733;24733;0;9950;0;10105;0;166;0;2237;2237;1499;1499;8245;0;11316;0;24733;0;2274;24733;0;9950;0;10105;0;164;0;1204;1204;0;11080;0;1806;4555742.14;2569397.78;1986344.36;0;4555742.14;4555742.14;0;0;1699189.47;231741.95;1095283.71;411942.99;3847436.38;0;3949253.33;0;101816.95;0;409278.26;0;1299843.18;433281.06;371975.32;44;0;0;0;2105099.56;0;0;2105099.56;0;0;0;0;9;54;8133;8133
5.10E+13;0;1;0;24590.12;0.57;30347;17187;30347;21256;9810;6288;10389;6659;161.16;161.16;1123.51;1123.51;716.18;808.58;10389;6437;14563;13915;17187;16691;297.09;10292;8930;2992;2596;2992;2596;55.11;55.11;428.21;428.21;7.27;2992;2596;8.32;3141366.21;3123741.01;17625.2;208037.43;3349403.64;3094890.75;1525811.95;1427762.36;374511.67;79417.07;202716.42;534796.47;2081224.57;1404933.03;5287505.3;0;1678610.25;0;131526.02;-4714.08;678077.54;158092.42;90925.42;15;10;758256.92;127451.53;0;927095.38;0;927095.38;0;1404933.03;0;1404933.03;5;30;6797;6797
5.10E+13;0;1;0;60777.98;0.81;42871;34569;37937;35273;11800;10768;12806;11771;225.15;225.15;3821.32;0;1951.47;2265.08;11637;10820;13665;13107;34569;32200;2883.96;27661;14960;7252;4203;8485;4589;167.79;167.79;780.92;780.92;919;7368;4382;223.54;12209663.68;9062813.86;3146849.82;949819.68;13159483.36;12434462.58;3056803.25;2178075.86;1924169.99;98860.83;1594201.05;2364725.14;8742150.5;1845885.9;19278752.66;0;2847937.8;0;298758.22;-1015399.53;1428380.86;2616819.7;354224.7;63;80;2461435.27;6858177.99;0;4399425.26;0;4399425.26;0;1845885.9;0;1845885.9;13;78;22822;22822
5.10E+13;0;1;0;91907.1;0.78;21904;17116;19432;17900;5988;5539;6159;5707;75.57;75.57;2161.41;2123.52;1139.81;1122.95;5682;5234;8294;7875;17116;16640;1085.84;8594;6792;2333;1856;2513;1986;42.61;35.83;194.07;194.07;228;2333;1856;0;4807616.99;4202870.07;604746.92;123893.21;4931510.2;3841464.78;1982436.69;1435158.55;723265.49;170894.21;548262.12;827441.73;3130280.69;0;6282726.99;0;764485.03;0;141598.66;-4680.26;631435.3;1378640.12;201981.52;17;19;718818.48;2392641.53;0;2212056.94;0;2212056.94;0;0;0;0;28;168;17576;17576
5.00E+13;0;1;0;8676.19;0.99;885711;873829;885711;860943;293536;282039;336048;322725;3971.34;3952;87566.42;49352.46;51704.03;52656.17;309069;297148;359513;345814;873829;860943;92120.16;732551;704573;206663;167063;251061;207616;2176.69;2139;31920.18;31920.18;35682;221736;192530;5014.92;480578083.1;318547015.5;162031067.6;45995739.23;526573822.4;476651176.1;221606068.9;153567077.6;24009391.09;1883074.22;33292357.29;59207125.48;146731296.1;62670125.54;346353829.4;0;55479232.21;0;5750245.53;56202702.02;46308535.66;17085507.96;10321554.6;636;561;22589102.52;25270473.53;0;73715598.22;0;73715598.22;19389108.68;58130083.79;4540041.75;82059234.22;0;0;828597;828597
5.10E+13;0;1;0;21462.3;0.74;35497;26378;26532;25637;8263;7875;8349;8154;121.96;121.96;1754.5;1754.5;1183.97;1403.88;7758;8154;9581;9214;26378;25637;1081.23;5599;5209;1430;1323;1637;1523;51.98;44.33;219.68;219.68;258;1604;1478;72.83;5342024.62;4456770.96;885253.66;127222.56;5469247.18;5490021.83;973722.62;931884.62;677982.26;127194.61;596732.03;730632.22;2912025.98;0;4487675.27;0;689595.19;0;209585.85;314163.31;408987.39;307058.62;145315.75;16;17;569899.01;571890.79;0;861361.76;0;861361.76;0;0;0;0;17;102;20206;20206
