Cidade_operador;So_Agua_yes;Nat_jur_B;Nat_jur_C;PIB_capta_2017;Urbaniz;POP_TOT;POP_URB;AG001;AG001A;AG002;AG002A;AG003;AG003A;AG005;AG005A;AG006;AG007;AG010;AG011;AG013;AG013A;AG021;AG021A;AG026;AG026A;AG028;ES001;ES001A;ES002;ES002A;ES003;ES003A;ES004;ES004A;ES005;ES006;ES007;ES009;ES009A;ES028;FN001;FN002;FN003;FN004;FN005;FN006;FN008;FN008A;FN010;FN011;FN013;FN014;FN015;FN016;FN017;FN018;FN019;FN020;FN021;FN022;FN023;FN024;FN025;FN026;FN026A;FN027;FN028;FN030;FN031;FN032;FN033;FN034;FN035;FN036;FN037;QD002;QD003;QD023;QD024
2.10E+13;1;0;0;5750.58;0.29;16772;4919;3496;3495;993;993;993;993;9.99;9.99;303.42;0;205.36;0;971;802;1364;1364;3496;3495;133.95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;216.2;216.2;240057.34;0;112418;0;352475.34;0;368933.56;0;16458.21;0;0;0.01;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;3;1
2.10E+13;1;0;0;6625.29;0.71;7772;5495;3448;3379;923;907;923;907;5.93;5.93;580.25;0;133.3;133.3;905;887;1513;1484;3448;3379;89.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;379763.76;379763.76;0;15072.8;394836.56;459901.41;752865.79;822282.6;114987.45;0;75540.54;0;190527.99;0;224698.71;0;13523.57;0;0;20647.15;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;149;92
2.10E+13;1;0;0;6159.99;0.36;10211;3675;3313;2966;838;759;840;760;15.29;10.29;330.23;0;126.31;126.31;822;736;1160;1148;3313;2966;168.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;406787.87;406787.87;0;15009.44;421797.31;388899.49;303208.51;270890.05;99621.53;0;155094.07;0;254715.6;0;298387.69;0;20618.31;0;0;23053.78;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;141;110
2.10E+13;1;0;0;6894.31;0.47;6263;2970;2970;2909;917;896;923;902;8.07;8.07;652.07;0;156.2;156.2;825;798;1252;1223;2970;2909;321.34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;510112.42;510112.42;0;11948.65;522061.07;416081.94;354524.69;256847.97;121202.08;0;252784.03;0;373986.11;0;417702.14;0;15756.76;0;0;27959.27;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;136;86
2.10E+13;1;0;0;6999.1;0.57;12063;6899;6681;6764;1847;1864;1862;1879;17.71;17.71;1177.81;0;314.79;314.79;1805;1826;2593;2561;5621;5628;226.38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;979191.29;979191.29;0;40043.6;1019234.89;755602.04;1314221.41;1062343.71;730706.77;0;188297.14;3548;922551.91;0;1083277.03;0;56942.25;0;0;103782.87;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;289;108
2.11E+13;1;0;0;5093.34;0.4;28498;11432;3092;3091;674;674;677;677;13;13;370.41;0;247.53;0;655;677;1272;1272;3092;3091;182.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;210094.29;210094.29;284754.49;0;135942.05;1180;421876.54;0;426520.3;0;4643.76;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;1;1
2.11E+13;1;0;0;4997.81;0.31;26953;8378;1875;1874;454;452;454;452;15.3;15.3;239.43;0;88.67;88.67;435;435;1111;1111;1875;1874;94.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;314074.2;314074.2;0;5400.44;319474.64;186289.11;1215737.79;1088997.07;266586.44;0;82781.76;0;349368.2;0;377179.67;0;10568.55;0;0;17242.92;0;0;0;5;4;0;0;0;0;0;0;0;0;0;0;0;0;44;26
2.11E+13;1;0;0;7329.48;0.6;11252;6791;3809;3891;1038;1060;1038;1060;12.96;13.23;436.47;0;123.99;123.99;1013;1035;1453;1440;3809;3891;226.08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;310466.44;310466.44;0;5085.54;315551.98;356985.44;80730.28;120460.16;423846.52;0;182047.82;4634;610528.34;0;639359.22;0;11370.72;0;0;17460.16;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;221;147
2.11E+13;0;0;0;25924.47;0.95;258016;244508;244508;241240;65325;63719;76521;74863;595.33;581.32;37533.03;32509.58;11970.91;11970.91;72409;70605;73123;72205;244508;241240;12038.66;85808;84447;20860;20875;26220;25995;136.5;136.5;4335.84;4335.84;4335.84;21007;21019;115.59;57734555.42;40136058.82;17598496.6;2195038.91;59929594.33;42178704.18;103678185.7;89103393.47;4347168.85;0;8051138.17;185841.79;12584148.81;0;19792856.09;0;4184229.97;0;0;3024477.31;1950;0;0;125;118;0;0;1950;0;0;1950;0;0;0;0;0;0;20691;8682
2.11E+13;1;0;0;8797.73;0.56;67673;37773;35521;36593;9418;9698;9518;9794;72.49;72.49;3706.32;3706.32;1586.25;1586.25;9108;9383;14546;13637;33290;33816;1913.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5407576.56;5407576.56;0;1480672.51;6888249.07;5406144.63;4791674.42;4313102.37;1567925.13;0;1124388.96;64551.63;2756865.72;0;3383619.29;0;340512.35;0;0;286241.22;0;0;0;33;34;0;0;0;0;0;0;0;0;0;0;0;0;5697;3530
2.11E+13;1;0;0;5875.72;0.44;9993;4384;2742;2643;716;689;716;689;7.81;4.46;478.31;46.23;89.5;89.5;696;671;1019;994;2742;2643;185.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;253637.34;253637.34;0;5308.23;258945.57;238885.79;114412.82;94056.67;180463.11;0;147260.62;0;327723.73;0;355687.03;0;13967.42;0;0;13995.88;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;55;36
2.11E+13;1;0;0;8287.46;0.75;23696;17830;17830;17335;5001;4859;5149;5014;42.52;39.07;3007.33;0;911.93;911.93;5039;4901;5825;5629;17830;17335;1467.38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2878442.16;2878442.16;0;104169.7;2982611.86;2165136.5;3724314.46;3047257.61;617564.97;0;1326579.05;8358.64;1952502.66;0;2174590.87;0;68941.2;0;0;153147.01;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;1239;290
2.11E+13;1;0;0;6154.28;0.39;16136;6231;3357;2288;917;626;919;626;10.28;10.28;695.38;0;216.63;126.92;906;614;1653;1591;2675;1638;466.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;354618.25;354618.25;0;17865.94;372484.19;283961.36;435864.36;348485.91;217943.51;0;395369.05;1975;615287.56;0;644061.5;0;12041.64;0;0;16732.3;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;261;151
2.11E+13;1;0;0;7380;0.65;49911;32542;5021;5063;1329;1339;1331;1342;13.51;13.51;421.42;0;223.38;223.38;1294;1305;2518;2505;5021;5063;345.43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;678105.59;678105.59;0;16048.71;694154.3;656755.02;323146.14;286782.15;192299.38;0;257705.94;2549;452554.32;0;515532.61;0;24725.26;0;0;38253.03;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;221;151
2.11E+13;1;0;0;6178.77;0.36;10808;3942;3593;3741;965;1006;966;1006;6.13;6.13;723.75;0;176.84;176.84;938;977;1245;1219;3593;3741;314.95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;574423.77;574423.77;0;12220.08;586643.85;493669.52;398459.35;305376.47;282339.14;0;211226.67;3468.8;497034.61;0;534821.17;0;5341.92;0;0;32444.64;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;107;70
2.11E+13;1;0;0;6213.75;0.33;16199;5310;3057;2990;783;769;784;770;5.38;5.38;525.69;0;116.53;116.53;774;757;1351;1332;3057;2990;213.51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;318792.59;318792.59;0;133495.83;452288.42;234272.69;458669.48;372079.25;301304.42;0;184731.68;0;486036.1;0;506335.39;0;6434.15;0;0;13865.14;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;114;46
2.11E+13;1;0;0;12888.02;0.59;11867;7057;7057;6954;2170;2202;2176;2208;18.32;17.32;700.4;0;320.05;320.05;2108;2138;2609;2605;7057;6954;278.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;934962.48;934962.48;0;29487.39;964449.87;886721.41;590921.22;527485.04;399510.97;0;184654.21;615;584780.18;0;665294.65;0;27698.16;0;0;52816.31;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;339;120
2.11E+13;1;0;0;16003.68;0.56;12098;6755;6755;6705;1852;1881;1855;1884;16.79;10.81;503.59;502.59;238.42;238.42;1808;1836;2417;2395;6755;6705;274.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;650178.72;650178.72;0;31146.65;681325.37;675390.6;461924.45;466766.95;420456.62;0;189648.74;10383.1;620488.46;0;693832.85;0;36558.24;0;0;36786.15;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;141;65
2.11E+13;1;0;0;7020;0.85;6917;5847;3442;2178;855;541;861;541;15.77;15.77;318.73;0;151.62;151.62;850;538;1546;1182;3442;2178;77.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;536157.22;536157.22;0;3868.41;540025.63;129502.82;1029903.49;667043.76;182303.99;0;61766.15;2000;246070.14;0;289097.5;0;18299.7;0;0;24727.66;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;384;228
2.11E+13;1;0;0;5854.1;0.51;19620;9999;4595;4473;1128;1098;1132;1102;16.78;16.78;635.1;0;177.84;177.84;1094;1065;1752;1705;4595;4473;127.38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;548840.26;548840.26;0;18603.15;567443.41;492697.1;491325.49;427236.77;213027.02;0;108232.44;2773.2;324032.66;0;376329.21;0;21590.76;0;0;30705.79;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;152;92
2.11E+13;1;0;0;5759.69;0.64;16013;10269;2232;2232;498;498;498;498;21.46;21.46;89.88;0;88.56;0;492;498;1353;1353;2232;2232;251.41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;139245.44;139245.44;102066.3;0;216376.51;1609;320051.81;0;347628.65;0;27576.84;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1
2.11E+13;1;0;0;7334.4;0.47;16679;7852;6225;6334;1574;1601;1574;1601;23.1;23.1;708.13;0;221.57;221.57;1537;1564;2222;2210;6225;6334;174.94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;630999.32;630999.32;0;16489.94;647489.26;571904.96;435969.56;380342.45;201688;0;153044.87;4401.1;359133.97;0;421344.77;0;28229.63;0;0;33981.17;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;175;100
2.11E+13;1;0;0;6738.98;0.41;23256;9439;1393;2742;378;731;378;731;11.57;11.57;242.33;0;72.61;72.61;358;705;1374;1357;1393;2742;111.79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;221216.09;221216.09;0;10307.79;231523.88;238724.93;536008.32;557705.57;290415.87;0;95422.77;1000;386838.64;0;418190.17;0;19008.8;0;0;12342.73;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;81;46
2.11E+13;1;0;0;4699.67;0.34;16451;5580;4002;3854;793;764;793;764;36.6;36.6;0;0;129.81;129.81;758;730;1399;1341;4002;3854;576.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;502550.95;502550.95;0;35884.6;538435.55;499739.19;774732.92;744992.3;100000;0;167525.43;0;267525.43;0;267525.43;0;0;0;0;0;0;0;0;9;11;0;0;0;0;0;0;0;0;0;0;0;0;722;371
2.11E+13;1;0;0;8741.93;0.46;21000;9624;2780;2792;775;779;781;785;18.07;12.4;411.98;0;140.52;140.52;695;698;2093;2082;2780;2792;96.76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;491817.95;491817.95;0;15018.3;506836.25;467366;408048.21;372785.96;198385.49;0;80596.82;113.34;279095.65;0;329747.19;0;22835.34;0;0;27816.2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;57;29
2.11E+13;1;0;0;17151.67;0.8;28001;22375;17020;17020;4036;4036;4038;4038;39.1;39.1;0;0;984.36;734.36;3684;3684;4640;4640;17020;17020;259.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43829.23;43829.23;0;2549.81;46379.04;16098.25;225047.52;178668.52;486124.66;0;239445.47;8051.2;733621.33;0;802452.88;0;65317.33;0;0;3514.22;0;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0;0;15;1
2.11E+13;1;0;0;6187.49;0.64;14913;9472;2690;2692;728;728;729;729;10.54;10.54;225.22;0;90.47;90.47;680;680;1533;1522;2690;2692;78.52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;316333.56;316333.56;0;16830.62;333164.18;396730.27;486039.88;554266.63;267989.34;0;61251.8;4000;333241.14;0;362259.1;0;9962.04;0;0;19055.92;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;186;123
2.11E+13;1;0;0;6018.66;0.37;33201;12301;5740;5740;1365;1365;1365;1365;21.85;21.85;608.73;0;608.36;505.36;1260;1260;2257;2257;5740;5740;282.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.84;20.84;0;497.6;518.44;88039.21;153300.7;153207.03;197399.7;0;238100.8;184.04;435684.54;0;462426.25;0;26713.68;0;0;28.03;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;8;4
2.11E+13;1;0;0;6975.7;0.54;9209;5015;5015;4840;1826;1841;1843;1858;14.24;14.24;959.97;0;298.23;298.23;1791;1805;2146;2135;5015;4840;417.66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1056720.84;1056720.84;0;145519.59;1202240.43;674033.23;3214992.61;2731889.23;170248.11;0;339980.12;3617.55;513845.78;0;578142.92;0;2943.12;0;0;61354.02;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;277;48
2.11E+13;1;0;0;6086.92;0.38;19292;7290;3200;3217;794;797;800;803;17;17;676.89;676.89;142.19;142.19;746;750;1732;1730;3200;3217;302.58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;495985.5;495985.5;0;15009.6;510995.1;533982.54;559843.75;581084.02;395590.08;0;219730.3;2843.92;618164.3;0;657298.41;0;11050.16;0;0;28083.95;0;0;0;6;6;0;0;0;0;0;0;0;0;0;0;0;0;285;188
2.11E+13;1;0;0;4484.9;0.36;14264;5080;4380;4487;986;1358;986;1358;19.63;19.63;2475.96;2475.96;137.82;137.82;938;961;1399;1389;4380;4487;739.43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;459643.82;459643.82;0;28109.68;487753.5;473208.05;538221.73;527469.19;672185.42;0;446034.07;10183.96;1128403.45;0;1199100.94;0;38512.5;0;0;32184.99;0;0;0;6;6;0;0;0;0;0;0;0;0;0;0;0;0;241;173
2.11E+13;1;0;0;8053.01;0.63;4683;2934;1659;1805;464;506;464;506;9.45;11.69;398.69;0;56.13;56.13;440;479;909;905;1659;1805;89.08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;176878.46;176878.46;0;4435.81;181314.27;165611.21;267962.69;255870.43;66116.87;0;72269.03;0;138385.9;0;148389.83;0;0;0;0;10003.93;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;24;8
2.11E+13;1;0;0;7154.96;0.52;19448;10029;1848;1847;507;357;507;357;16.96;16.95;93.3;0;93.01;0;507;345;1198;1198;1848;1847;102.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;153697.14;153697.14;124283.63;0;75369.8;0;199653.43;0;230977.5;0;31322.4;0;0;1.67;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
2.11E+13;1;0;0;6432.51;0.18;19661;3624;3624;3580;1151;1145;1157;1151;5.36;5.36;475.32;0;175.75;175.75;1113;1101;1398;1385;3624;3580;144.43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;564005.55;564005.55;0;20347.89;584353.44;356832.38;1178818.93;970281.35;300514.12;0;116428.37;0;416942.49;0;456756.28;0;9276.24;0;0;30537.55;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;105;61
2.11E+13;1;0;0;6568.38;0.78;21290;16676;10978;13053;2982;3552;2989;3559;29.83;46.3;1351.63;0;440.2;440.2;2889;3435;5266;5246;10978;13053;894.89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1309372.14;1309372.14;0;116044.09;1425416.23;982898.8;1914765.33;1549628.97;325473.85;0;641444.32;6312.84;973231.01;0;1166718.33;0;121880.83;0;0;71606.49;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;290;41
2.11E+13;1;0;0;6667.1;0.32;15901;5097;747;790;163;172;163;172;12.26;12.26;103.46;0;102.35;23.46;157;166;595;592;747;790;48.35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69453.62;69453.62;0;6906.47;76360.09;41126.53;204227.63;169924.45;55587.3;0;43098.66;2300.95;100986.91;0;100986.91;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;29;17
2.11E+13;1;0;0;7075.18;0.54;21015;11330;4274;4677;1070;1174;1074;1178;11.3;12.05;569.74;0;158.08;158.08;1040;1138;2549;2529;4274;4677;421.37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;439845.05;439845.05;0;25023.33;464868.38;225096.22;1188726.42;954052.88;166609.53;0;349639.44;567.1;516816.07;0;575516.27;0;33323.88;0;0;25376.32;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;369;126
2.11E+13;1;0;0;14705.56;0.83;39267;32786;32766;32032;10237;10287;10269;10321;60.07;60.07;6230.69;6230.69;1690.6;1690.6;9731;9776;12889;12789;32766;32032;1686.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5984292.65;5984292.65;0;275636.48;6259929.13;6037826.47;3367543.96;3345642.41;3081098.72;0;1069489.26;73191.14;4223779.12;0;4959736.52;0;256028.2;0;0;479929.2;714.69;0;0;47;49;0;0;714.69;0;0;714.69;0;0;0;0;0;0;4698;3017
2.11E+13;1;0;0;4932.47;0.48;38203;18499;5208;5321;1273;1302;1273;1302;26.88;26.88;1002.86;0;217.71;217.71;1246;1273;2285;2278;5208;5321;283.93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;651101.94;651101.94;0;33669.43;684771.37;404486.1;1351784.8;1076736.68;166358.11;0;224675.52;6260.5;397294.13;0;470119.53;0;35250.48;0;0;37574.92;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;101;74
2.11E+13;1;0;0;5484.03;0.27;14291;3798;1743;1815;507;527;508;528;10.18;10.18;298.32;0;88.51;88.51;487;507;749;738;1743;1815;697.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;287281.79;287281.79;0;10950.5;298232.29;263008.1;351970.02;321882.79;105086.55;0;103040.82;5450;213577.37;0;238474.25;0;8471.64;0;0;16425.24;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;74;42
2.11E+13;1;0;0;7959.81;0.37;23025;8419;7788;7882;2090;2111;2096;2117;19.92;28.04;1146.33;0;333.94;333.94;2047;2072;3464;3435;6159;6234;394.16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;960879.05;960879.05;0;33756.51;994635.56;884228.61;778142.19;679843.64;583723.59;0;351150.16;4885.52;939759.27;0;1007711.19;0;25317.33;0;0;42634.59;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;562;417
2.11E+13;1;0;0;8720.41;0.72;32815;23614;10622;10976;2744;2867;2792;2878;46.82;46.83;1634.93;0;492.83;492.83;2696;2786;6104;6066;10622;10976;118.27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1532931.76;1532931.76;0;131306.03;1664237.79;1289892.32;2910601.83;2589385.53;313601.55;0;548907.95;1033;863542.5;0;1051218.6;0;100017.63;0;0;87658.47;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;2132;1143
2.11E+13;1;0;0;10081.05;0.59;82990;49358;22550;23163;5845;5987;5998;6161;80.99;80.99;3698.43;2962.7;1109.47;1109.47;5738;5894;9966;9859;22550;23163;960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3748015.99;3748015.99;0;516297.81;4264313.8;3128648.19;5804177.86;5004621.34;1637344.26;0;629164.86;19954.11;2286463.23;0;2783319.38;0;287919.96;0;0;208936.19;0;0;0;36;36;0;0;0;0;0;0;0;0;0;0;0;0;3077;1443
2.11E+13;1;0;0;7091.8;0.57;21594;12220;12274;10127;3186;2633;3198;2644;39.63;39.62;951.81;0;477.26;477.26;3122;2575;4564;4558;11372;9266;382.96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1370087.68;1370087.68;0;76093.89;1446181.57;1369609.17;1674592.6;1593722.79;196178.73;0;340317.72;4505.58;541002.03;0;676641.97;0;61596.6;0;0;74043.34;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;428;264
2.11E+13;1;0;0;6012.5;0.64;18527;11881;7672;7894;1942;1998;1948;2004;40.4;40.4;1179.85;1179.85;292.29;292.29;1899;1954;3840;3825;7672;7894;414.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;810564.93;810564.93;0;26767.15;837332.08;618949.86;1076538.12;854128.35;484733.28;0;313169.11;2797.9;800700.29;0;1045899.88;0;199316.52;0;0;45883.07;0;0;0;5;4;0;0;0;0;0;0;0;0;0;0;0;0;287;153
2.11E+13;1;0;0;7990.07;0.43;18157;7719;6357;6357;1849;1849;1876;1876;8.57;8.57;521.43;0;520.35;0;1849;1876;2328;2328;6357;6357;244.96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;195045.14;195045.82;79079.45;0;185956.16;980;266015.61;0;276860.97;0;10845.36;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;2;1
2.11E+13;1;0;0;7222.85;0.4;5995;2397;2276;2327;586;757;588;757;8.11;8.11;334.07;334.07;91;91;562;590;936;933;2276;2327;136.46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;281663.06;281663.06;0;30640.8;312303.86;166190.17;531078.46;401345.25;366764.57;0;119333.46;701;486799.03;0;511898.48;0;9223.46;0;0;15875.99;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;95;56
2.11E+13;1;0;0;11704.58;0.72;47567;34029;31945;31580;8931;8829;8959;8851;46.83;46.83;3786.92;0;3576.32;60.22;8958;8072;11112;11010;30411;30027;1499.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;162908.81;162908.81;0;121596.61;284505.42;267088.39;1538921.79;1617057.5;560080.31;0;1172127.41;43788;1775995.72;0;1865160.7;0;86993.68;0;0;2171.3;0;0;0;28;29;0;0;0;0;0;0;0;0;0;0;0;0;988;700
2.11E+13;1;0;0;7301.38;0.36;12629;4508;2063;2190;461;720;461;722;10.2;10.2;408.45;408.45;73.18;73.18;438;465;940;940;2063;2190;134.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;245945.14;245945.14;0;5468.87;251414.01;249653.45;867481.33;865547.94;258658.35;0;110514.5;0;369172.85;0;419526.11;0;36522.96;0;0;13830.3;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;43;30
2.11E+13;1;0;0;5097.1;0.43;11124;4755;2815;2815;713;713;713;713;20.3;20.3;344.61;344.61;244.61;0;680;713;1134;1134;2815;2815;218.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120284.22;120284.22;291256.76;0;140976.94;6288;438521.7;0;806084.58;0;367562.88;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1
2.11E+13;1;0;0;4979.21;0.31;15197;4671;3753;3779;872;879;874;881;10.7;10.7;413.73;4.78;104.94;104.94;855;881;1294;1294;3753;3779;169.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;234097.81;234097.81;0;3877.04;237974.85;142842.33;251422.63;156180.19;111157.15;0;142651.33;0;253808.48;0;271761.29;0;4815.12;0;0;13137.69;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;19;9
2.11E+13;1;0;0;15759.97;0.5;20243;10222;10222;9946;3907;3838;3944;3879;39;39;1087;1087;543.32;543.32;3854;3793;4417;4333;10222;9946;388.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1673167.11;1673167.11;0;74162.54;1747329.65;1426060.62;1703701.76;1380020.26;620672.32;0;314322.91;11184.52;946179.75;0;1106632.26;0;64696.18;0;0;95756.33;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;507;244
2.11E+13;1;0;0;7370.94;0.59;42482;24959;460;459;113;113;113;113;21.41;21.41;73.04;73.04;15.02;15.02;110;110;567;567;0;0;8.71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41207.64;41207.64;0;376.39;41584.03;13130.41;212300.42;183846.8;10000;0;8762.34;0;18762.34;0;18762.34;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
2.11E+13;1;0;0;38915.83;0.52;5663;2927;2345;2344;600;600;601;601;9.54;18.07;239.04;239.04;239;0;579;601;803;803;2345;2344;97.87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300914;300914;387096.84;0;83172.93;0;470269.77;0;488828.37;0;18558.6;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;40;39
2.11E+13;1;0;0;6135.39;0.32;7719;2507;1651;1722;429;447;429;447;4.5;4.5;189.3;0;67.22;67.22;418;436;676;673;1651;1722;89.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;204216.36;204216.36;0;7686.76;211903.12;253340.7;105239.12;147308.78;188163.55;0;128992.72;0;317156.27;0;332769.39;0;3910.84;0;0;11702.28;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;76;50
2.11E+13;1;0;0;6678.52;0.5;41770;20910;4;212;0;200;0;201;9.54;9.54;0;0;0;0;0;54;231;231;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80483.17;81936.23;0;0;231.26;2000;2231.26;0;10939.66;0;8708.4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1
2.11E+13;1;0;0;13920.89;0.95;88590;83907;43369;43962;11411;11573;11724;11877;149.67;149.68;5019.87;0;1975.55;1975.55;11413;11569;19087;18994;43369;43962;2123.27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6228727.61;6228727.61;0;433943.43;6662671.04;5324461.4;10025142.72;8758849.09;1789625.2;0;2123270.03;3955;3916850.23;0;4582564.97;0;303199.56;0;0;362515.18;0;0;0;35;34;0;0;0;0;0;0;0;0;0;0;0;0;5908;3024
2.11E+13;1;0;0;7654.33;0.35;72440;25231;25230;24930;6684;6777;6750;6832;33.72;33.72;2482.44;0;1047.1;1047.1;6594;6675;8978;8943;25230;24930;1309.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3529593.96;3529593.96;0;162376.1;3691970.06;2517926.17;6971867.62;5892220.16;472446.15;0;1088091.18;1887;1562424.33;0;1848879.24;0;90685.91;0;0;195769;0;0;0;7;6;0;0;0;0;0;0;0;0;0;0;0;0;2516;1669
