c_mun;un;ano;c_prest;t_Serv;nat_jur_c;FN017;nat_jur_b;Urbanizacao;AG005;AG011;AG021;QD023;IN008;IN013;IN058
291970;BA;2003;29197011;0;0;13.24;0;73;3.99;6.10;8.17;4.13;9.67;5.36;0.05
292370;BA;2004;29237011;0;0;12.71;0;33;3.28;5.82;7.96;5.77;9.49;20.06;-0.37
292370;BA;2003;29237011;0;0;12.36;0;33;3.21;5.82;7.93;6.17;9.17;20.18;-0.37
292600;BA;2004;29260011;1;0;14.77;0;58;4.29;9.08;8.95;4.38;10.03;0.00;0.05
292600;BA;2003;29260011;1;0;14.02;0;58;4.28;7.62;8.94;7.68;9.91;51.33;-3.91
292640;BA;2004;29264011;0;0;12.18;0;38;3.40;7.55;8.34;7.15;9.14;17.44;0.34
292840;BA;2004;29284011;1;0;13.09;0;51;3.81;6.22;8.43;6.96;9.16;17.21;-0.92
292840;BA;2003;29284011;1;0;13.04;0;51;3.81;6.22;8.39;4.50;9.16;17.21;-0.99
293077;BA;2004;29307711;1;0;13.29;0;92;4.11;7.09;8.70;8.67;8.87;25.93;0.92
293290;BA;2004;29329011;1;0;14.94;0;72;5.01;7.99;9.93;9.68;9.67;74.39;-0.63
293290;BA;2003;29329011;0;0;14.76;0;72;4.93;7.96;9.89;9.72;9.62;66.14;-3.51
230050;CE;2004;23044000;0;1;11.48;0;29;2.30;4.64;6.69;2.08;10.17;-35.06;-1.71
230100;CE;2004;23044000;1;1;13.86;0;90;4.01;5.79;7.76;4.32;9.97;17.67;-0.15
230110;CE;2004;23044000;1;1;13.94;0;64;4.28;7.25;9.18;1.10;10.09;28.31;-0.37
230190;CE;2003;23044000;1;1;14.52;0;65;3.74;7.21;8.92;6.73;10.42;40.05;-0.37
230210;CE;2004;23044000;1;1;13.41;0;70;3.78;6.86;8.66;4.93;10.57;34.20;-4.61
230210;CE;2003;23044000;1;1;13.09;0;70;3.71;6.84;8.60;4.67;10.74;38.84;-4.61
230230;CE;2004;23044000;0;1;12.82;0;41;3.43;5.67;7.98;2.71;10.27;3.02;0.14
230240;CE;2004;23024011;0;0;13.80;0;41;4.50;7.17;9.10;7.77;9.39;11.63;-0.97
230240;CE;2003;23024011;0;0;13.54;0;41;4.47;7.11;9.08;8.68;9.55;16.12;-0.89
230310;CE;2004;23044000;0;1;12.74;0;29;2.30;5.51;7.47;1.10;10.10;9.81;0.15
230350;CE;2004;23044000;1;1;13.58;0;83;4.44;6.72;8.74;4.57;10.22;1.65;-0.58
230350;CE;2003;23044000;1;1;13.64;0;83;4.42;6.68;8.67;6.39;10.52;-1.78;-0.56
230365;CE;2004;23044000;0;1;11.67;0;44;2.56;5.24;7.25;4.19;9.38;-10.58;-0.80
230400;CE;2004;23044000;0;1;12.52;0;56;2.71;5.62;7.64;3.09;10.47;57.95;-2.21
230410;CE;2004;23044000;1;1;14.70;0;67;4.76;7.66;9.57;7.51;9.23;25.42;-0.67
230430;CE;2003;23044000;0;1;12.24;0;43;2.30;5.46;7.40;5.71;10.27;8.20;0.16
230440;CE;2004;23044000;1;1;19.32;0;100;8.25;11.64;13.24;11.63;10.75;37.55;-0.63
230523;CE;2004;23044000;1;1;13.88;0;83;4.34;6.46;8.45;4.69;10.72;24.52;0.90
230523;CE;2003;23044000;1;1;13.60;0;83;4.11;6.38;8.31;4.64;11.15;31.19;0.66
230550;CE;2004;23055011;1;0;15.19;0;73;4.85;7.95;9.96;6.49;9.96;42.42;-0.92
230560;CE;2004;23044000;0;1;12.71;0;41;2.64;5.92;7.99;6.88;9.94;22.17;-0.94
230610;CE;2004;23044000;0;1;13.06;0;56;2.30;5.67;7.63;4.28;10.04;33.63;-0.11
230625;CE;2004;23044000;1;1;13.16;0;91;4.23;6.30;8.23;1.39;10.78;11.66;-1.14
230625;CE;2003;23044000;1;1;13.17;0;91;4.19;6.29;8.17;1.10;10.90;24.36;-1.35
230640;CE;2004;23044000;1;1;14.45;0;51;4.44;7.60;9.38;6.77;7.72;-0.15;-0.63
230670;CE;2004;23044000;0;1;12.95;0;40;3.14;5.90;7.80;5.63;10.16;15.27;-0.49
230730;CE;2004;23044000;1;1;15.96;0;95;5.78;9.20;10.99;5.60;7.53;33.88;-0.12
230730;CE;2003;23044000;1;1;15.72;0;95;6.06;9.20;10.94;9.72;7.97;40.20;-0.30
230750;CE;2003;23044000;0;1;12.93;0;54;3.14;6.11;8.03;6.69;10.52;32.48;-0.34
230770;CE;2004;23044000;1;1;14.04;0;74;4.74;7.59;9.37;4.76;9.99;28.89;-2.41
230770;CE;2003;23044000;1;1;13.81;0;74;4.74;7.59;9.30;3.91;10.12;30.24;-2.30
230780;CE;2004;23044000;0;1;12.64;0;57;3.18;5.99;7.87;2.94;10.14;11.55;-0.49
230800;CE;2004;23044000;0;1;10.85;0;65;3.04;6.36;8.34;3.71;9.38;43.52;-0.67
230810;CE;2003;23044000;0;1;12.68;0;43;2.83;5.94;7.90;6.17;10.57;46.02;-0.87
230830;CE;2003;23044000;0;1;13.01;0;42;2.77;5.87;7.66;5.90;10.48;28.57;0.06
230870;CE;2004;23087011;0;0;14.04;0;53;5.34;7.14;9.40;5.77;10.04;24.98;-0.63
230960;CE;2004;23044000;1;1;14.59;0;78;4.37;6.94;8.93;4.69;10.21;58.20;-0.27
230960;CE;2003;23044000;1;1;14.73;0;78;4.32;6.84;8.82;4.64;10.60;33.16;-1.83
230970;CE;2004;23044000;1;1;13.14;0;91;3.76;6.23;8.10;3.74;9.84;49.45;-1.66
230970;CE;2003;23044000;1;1;12.78;0;91;3.71;6.19;7.99;5.63;10.49;36.03;-1.39
230990;CE;2004;23044000;0;1;12.29;0;58;2.08;5.04;6.99;2.56;10.34;11.42;-0.43
231010;CE;2004;23044000;1;1;12.23;0;45;2.48;4.98;7.02;5.42;10.15;6.41;-0.16
231020;CE;2004;23044000;1;1;12.89;0;61;2.64;5.78;7.82;2.30;10.25;5.53;-0.84
231025;CE;2004;23044000;1;1;12.93;0;50;3.09;5.84;7.83;4.79;10.05;21.05;-0.01
231040;CE;2004;23044000;0;1;12.27;0;38;2.30;5.09;7.11;6.40;10.15;5.26;-1.97
231070;CE;2004;23044000;0;1;13.38;0;59;3.76;6.68;8.65;5.48;9.95;49.49;-0.94
231130;CE;2004;23044000;1;1;14.34;0;67;4.16;7.53;9.48;7.34;8.13;36.11;0.13
231140;CE;2004;23114011;0;0;14.21;0;52;4.91;7.55;9.36;7.94;9.54;22.59;-0.84
231140;CE;2003;23114011;0;0;14.04;0;52;4.86;7.40;9.30;7.86;9.60;30.20;-1.08
231160;CE;2004;23044000;1;1;13.25;0;51;3.18;5.89;7.80;5.63;10.09;35.70;-0.13
231170;CE;2004;23044000;0;1;12.49;0;46;2.40;5.66;7.72;4.28;9.57;50.77;-2.04
231180;CE;2004;23044000;1;1;14.23;0;62;4.06;7.19;9.15;4.20;1.48;28.82;-0.19
231200;CE;2004;23044000;0;1;12.74;0;48;2.94;6.10;7.90;2.48;9.67;5.09;-0.14
231220;CE;2004;23044000;0;1;13.25;0;46;3.66;6.38;8.40;4.72;10.20;24.13;0.12
231230;CE;2004;23044000;1;1;13.36;0;53;3.66;6.63;8.65;6.31;10.07;0.00;-0.67
231240;CE;2003;23044000;1;1;12.89;0;62;2.64;5.63;7.55;3.22;10.54;26.25;-0.54
231250;CE;2003;23125011;1;0;12.26;0;32;4.26;5.72;7.72;7.29;8.80;9.50;-1.11
231270;CE;2004;23044000;0;1;13.09;0;58;3.09;6.37;8.37;6.24;10.46;39.71;-0.87
231310;CE;2004;23044000;1;1;13.15;0;58;3.64;6.59;8.49;1.39;9.96;45.76;-0.71
231340;CE;2004;23044000;0;1;13.75;0;64;4.48;7.33;9.28;7.71;10.58;75.08;-0.01
231350;CE;2004;23044000;1;1;12.35;0;32;1.79;5.41;7.33;5.48;9.98;45.89;-3.00
231380;CE;2004;23044000;0;1;12.87;0;68;3.00;6.25;8.11;6.04;10.21;52.25;-1.51
530010;DF;2004;53001000;1;1;20.02;0;96;8.68;11.89;12.94;13.80;11.41;23.11;-0.17
530010;DF;2003;53001000;1;1;19.88;0;96;8.62;11.87;12.90;13.96;11.17;22.39;-0.16
320060;ES;2004;32006011;1;0;15.37;0;84;5.72;8.24;9.94;9.12;9.56;-0.60;-0.19
320060;ES;2003;32006011;1;0;15.36;0;84;5.68;8.28;9.91;6.34;9.53;-0.53;-0.24
320120;ES;2004;32012011;1;0;16.89;1;89;6.23;9.17;10.68;10.74;10.08;26.42;-0.30
320120;ES;2003;32012011;1;0;16.78;1;89;6.22;9.19;10.64;11.26;10.08;30.06;-0.15
320150;ES;2004;32015012;1;0;16.12;0;81;5.75;8.75;9.99;8.90;9.33;30.96;-0.43
320150;ES;2003;32015012;1;0;15.49;0;81;5.75;8.77;9.97;8.72;9.27;31.04;-0.42
320230;ES;2004;32023011;1;0;13.66;0;75;4.22;5.93;8.72;7.51;9.23;4.88;-0.36
320230;ES;2003;32023011;1;0;13.53;0;75;4.15;5.93;8.69;7.68;9.19;4.87;2.06
320310;ES;2004;32031011;1;0;12.86;0;66;3.69;6.17;7.80;6.61;10.04;26.70;-2.12
320310;ES;2003;32031011;1;0;12.87;0;66;3.69;6.17;7.77;6.47;10.05;22.85;-2.21
320313;ES;2004;32031311;1;0;13.34;0;69;4.25;6.80;8.43;5.29;9.84;7.31;-2.21
320490;ES;2004;32049011;1;0;15.17;0;76;5.64;8.18;10.15;9.75;9.78;50.82;-0.80
320490;ES;2003;32049011;1;0;15.18;0;76;5.60;8.08;10.11;9.48;9.47;50.82;-0.76
520080;GO;2004;52087000;1;1;13.55;0;90;3.74;5.59;7.76;2.64;10.28;35.65;-0.48
520080;GO;2003;52087000;1;1;13.29;0;90;3.72;5.56;7.74;2.08;10.16;40.30;-0.54
520110;GO;2004;52087000;1;1;17.32;0;97;7.05;9.33;11.33;8.73;10.96;50.14;-0.24
520110;GO;2003;52087000;1;1;17.30;0;97;7.04;9.31;11.33;7.46;10.94;48.88;-0.34
520130;GO;2004;52087000;1;1;14.37;0;79;4.38;6.49;8.50;3.93;10.98;27.38;-0.58
520215;GO;2004;52087000;1;1;13.50;0;68;3.62;5.21;7.41;0.69;10.51;24.17;0.01
520330;GO;2004;52087000;1;1;14.21;0;64;3.71;6.19;8.43;3.83;10.96;36.23;-0.39
520380;GO;2004;52087000;1;1;13.26;0;81;3.55;5.17;7.46;0.69;10.90;12.40;-0.53
520390;GO;2004;52087000;1;1;13.59;0;85;3.60;5.96;8.06;2.20;10.88;26.08;0.12
520440;GO;2004;52087000;1;1;14.50;0;74;4.05;6.21;8.51;4.01;10.86;6.82;-0.16
520440;GO;2003;52087000;1;1;14.46;0;74;4.05;6.16;8.50;3.14;10.76;14.38;-0.42
520490;GO;2004;52087000;0;1;14.42;0;83;4.46;6.31;8.51;3.71;10.01;48.70;0.03
520510;GO;2004;52051011;1;0;15.06;0;90;5.71;8.04;10.01;10.41;10.06;31.27;0.39
520549;GO;2004;52087000;1;1;15.23;0;85;5.00;7.38;9.42;5.93;11.00;42.00;0.43
520549;GO;2003;52087000;1;1;15.18;0;85;5.00;7.37;9.34;5.25;11.03;37.14;0.39
520753;GO;2004;52075311;0;0;11.89;0;50;3.00;5.47;7.18;3.40;9.13;0.00;-0.13
520910;GO;2004;52087000;1;1;14.96;0;89;5.12;7.12;9.03;4.88;11.09;34.86;-0.40
520910;GO;2003;52087000;1;1;14.77;0;89;5.13;7.10;9.00;4.67;10.97;33.72;-0.89
520920;GO;2004;52087000;1;1;13.99;0;72;4.08;6.02;8.20;0.00;10.70;25.08;-0.56
521000;GO;2004;52087000;1;1;15.28;0;91;5.25;7.41;9.34;6.02;10.53;29.66;-0.49
521120;GO;2004;52087000;1;1;14.91;0;74;4.48;6.60;8.82;4.93;10.96;36.59;-0.48
521150;GO;2004;52087000;1;1;16.07;0;95;5.76;8.19;9.98;6.01;11.04;43.42;-0.56
521190;GO;2004;52087000;1;1;16.04;0;91;5.67;8.07;10.06;6.30;10.87;50.07;-0.04
521250;GO;2004;52087000;1;1;16.09;0;92;5.40;7.92;9.79;5.98;10.68;32.53;-0.46
521250;GO;2003;52087000;1;1;16.03;0;92;5.39;7.95;9.76;5.90;10.62;25.80;-1.43
521295;GO;2004;52129511;0;0;11.30;0;72;2.80;5.09;7.08;3.18;8.07;7.95;0.11
521380;GO;2004;52087000;1;1;15.41;0;84;5.16;7.37;9.42;3.89;10.66;27.14;-0.29
521380;GO;2003;52087000;1;1;15.34;0;84;5.15;7.36;9.42;2.77;10.59;31.98;-0.53
521523;GO;2004;52087000;1;1;15.25;0;98;5.03;7.62;9.61;6.81;10.96;43.13;-3.91
521523;GO;2003;52087000;1;1;15.25;0;98;5.03;7.64;9.64;5.00;10.87;45.79;-4.61
521570;GO;2004;52087000;1;1;14.37;0;76;4.38;6.29;8.39;3.93;10.08;6.83;-0.39
521640;GO;2004;52087000;1;1;14.19;0;71;3.91;5.86;8.00;4.34;10.90;34.89;-1.97
521730;GO;2004;52087000;1;1;14.22;0;59;4.56;6.69;8.58;3.00;10.69;27.16;-1.97
521760;GO;2004;52087000;1;1;15.42;0;95;5.33;7.72;9.75;1.10;11.00;25.79;-0.02
521830;GO;2004;52087000;1;1;14.51;0;72;4.64;6.69;8.64;4.14;10.86;39.03;-0.27
521850;GO;2004;52087000;1;1;15.13;0;84;5.10;7.14;9.15;5.75;11.23;39.44;-0.25
521850;GO;2003;52087000;1;1;15.15;0;84;5.09;7.15;9.14;5.33;11.18;38.08;-0.29
521880;GO;2004;52087000;1;1;16.35;0;91;6.18;8.55;10.43;5.23;11.00;34.98;-0.43
521930;GO;2004;52087000;0;1;14.90;0;94;4.95;7.42;9.22;4.84;10.46;28.41;-0.30
521930;GO;2003;52087000;0;1;14.82;0;94;4.91;7.42;10.60;3.09;10.39;35.37;-0.46
522010;GO;2003;52087000;1;1;15.08;0;84;4.77;6.89;9.02;3.50;10.23;32.24;-0.37
522020;GO;2004;52087000;1;1;15.09;0;79;4.12;6.30;8.42;3.40;11.59;48.79;-0.25
522020;GO;2003;52087000;1;1;14.09;0;79;4.12;6.30;8.43;1.10;10.82;47.82;-0.02
