c_mun;un;ano;c_prest;t_Serv;nat_jur_c;FN017;nat_jur_b;Urbanizacao;AG005;AG011;AG021;QD023;IN008;IN013;IN058
172125;TO;2008;17210000;0;0;11.51;1;56;1.72;3.71;5.83;6.58;10.53;6.37;-1.17
172130;TO;2009;17210000;0;0;11.75;1;43;2.65;4.15;6.22;6.62;10.72;17.83;-0.40
172130;TO;2008;17210000;0;0;11.72;1;43;2.65;4.15;6.18;6.27;10.65;23.79;-0.34
172208;TO;2009;17210000;0;0;13.17;1;56;3.03;5.64;7.66;8.60;10.16;-4.29;-0.60
172208;TO;2008;17210000;0;0;12.93;1;56;3.03;5.58;7.57;7.25;10.07;7.01;-0.60
172210;TO;2009;17210000;0;0;13.83;1;81;3.49;6.18;8.06;8.77;10.23;18.47;-0.76
172210;TO;2008;17210000;0;0;13.77;1;81;3.47;6.08;8.00;8.40;10.12;17.38;-0.76
120001;AC;2012;12004000;0;1;14.17;0;47;3.30;5.60;7.55;6.88;8.88;57.00;-0.60
120001;AC;2011;12004000;0;1;14.38;0;47;2.94;5.50;7.45;6.26;11.14;60.36;-0.48
120005;AC;2012;12004000;0;1;13.13;0;61;3.28;5.28;7.08;6.53;11.19;65.46;-0.42
120005;AC;2011;12004000;0;1;12.75;0;61;3.14;5.28;7.00;5.95;8.99;65.05;-0.36
120010;AC;2012;12004000;0;1;14.52;0;67;4.29;6.56;8.34;7.19;11.08;69.83;-1.08
120010;AC;2011;12004000;0;1;14.13;0;67;3.92;6.59;8.31;6.93;10.44;68.57;-1.05
120013;AC;2012;12004000;0;1;14.16;0;44;3.57;5.67;7.36;5.68;10.73;32.24;-2.12
120013;AC;2011;12004000;0;1;14.74;0;44;3.53;5.57;7.30;6.21;11.24;40.06;-2.12
120017;AC;2012;12004000;0;1;14.35;0;45;2.98;5.44;7.12;6.65;11.32;54.65;-0.43
120017;AC;2011;12004000;0;1;13.91;0;45;2.90;5.40;7.07;6.23;11.12;57.07;-0.60
120020;AC;2012;12004000;0;1;15.42;0;70;5.18;7.51;9.28;8.23;11.10;55.14;0.06
120020;AC;2011;12004000;0;1;15.09;0;70;4.90;7.49;9.22;8.00;10.33;55.60;-0.09
120025;AC;2012;12004000;0;1;14.91;0;70;3.93;6.32;8.18;6.80;11.28;65.64;-1.11
120025;AC;2011;12004000;0;1;14.53;0;70;3.80;6.32;8.11;6.92;10.91;65.62;-1.11
120030;AC;2012;12004000;0;1;14.30;0;51;4.29;5.51;7.91;6.83;11.81;81.64;-0.94
120030;AC;2011;12004000;0;1;13.61;0;51;4.25;5.36;7.87;6.40;10.58;83.65;-1.43
120032;AC;2012;12004000;0;1;12.78;0;35;1.92;4.86;6.52;5.61;11.53;31.82;-4.61
120032;AC;2011;12004000;0;1;12.07;0;35;1.92;4.66;6.48;5.76;9.66;14.45;-3.91
120033;AC;2012;12004000;0;1;13.69;0;58;3.79;5.94;7.82;7.42;10.84;70.07;-1.47
120033;AC;2011;12004000;0;1;13.33;0;58;3.75;5.79;7.71;6.57;10.27;74.11;-1.47
120034;AC;2012;12004000;0;1;13.80;0;66;3.18;5.68;7.45;6.57;10.78;61.09;-0.82
120034;AC;2011;12004000;0;1;13.61;0;66;3.10;5.58;7.35;6.12;10.06;64.35;-0.65
120035;AC;2012;12004000;0;1;12.66;0;28;2.29;5.27;6.49;5.46;10.90;34.46;-0.78
120038;AC;2012;12004000;0;1;14.78;0;60;4.13;6.05;8.01;7.28;11.42;38.27;-0.62
120038;AC;2011;12004000;0;1;14.43;0;60;3.88;5.88;7.99;6.69;11.19;48.03;-0.51
120080;AC;2012;12004000;0;1;13.29;0;13;4.04;5.38;7.15;6.05;10.82;27.21;-0.82
120080;AC;2011;12004000;0;1;14.53;0;13;3.48;5.33;7.13;5.70;11.23;32.50;-0.78
120040;AC;2012;12004000;1;1;17.92;0;92;6.71;9.28;11.18;11.81;10.98;59.13;-0.51
120040;AC;2011;12004011;1;0;17.43;0;92;6.65;9.20;11.14;10.45;10.73;69.25;-0.76
120040;AC;2010;12004011;1;0;16.91;0;92;6.65;9.14;11.14;10.45;10.56;64.05;-0.87
120043;AC;2012;12004000;0;1;12.69;0;40;1.79;4.55;6.29;5.01;11.51;81.81;-1.05
120045;AC;2012;12004000;0;1;15.25;0;63;4.02;6.15;8.26;7.41;11.55;23.40;-0.27
120045;AC;2011;12004000;0;1;14.76;0;63;3.81;6.06;8.10;6.60;11.30;-1.18;0.34
120050;AC;2012;12004000;0;1;15.27;0;66;4.23;6.64;8.57;7.23;10.68;36.04;-0.09
120050;AC;2011;12004000;0;1;15.22;0;66;4.20;6.64;8.53;7.22;11.07;36.60;-0.22
120060;AC;2012;12004000;0;1;14.74;0;54;4.43;6.41;8.35;6.89;10.94;48.25;-0.54
120060;AC;2011;12004000;0;1;14.47;0;54;4.40;6.38;8.29;6.45;10.59;50.70;-0.60
120070;AC;2012;12004000;0;1;14.42;0;64;4.03;6.36;8.06;7.54;11.15;41.73;-0.65
120070;AC;2011;12004000;0;1;14.30;0;64;3.94;6.30;8.07;6.87;11.07;44.73;-0.97
270010;AL;2012;27043000;0;1;14.60;0;26;3.00;6.05;8.15;7.68;11.28;39.60;1.43
270010;AL;2011;27043000;0;1;14.33;0;26;2.99;5.97;8.08;6.10;11.07;57.74;1.30
270010;AL;2010;27043000;0;1;14.38;0;26;2.99;5.89;8.04;5.84;10.97;58.26;1.45
270020;AL;2012;27043000;0;1;14.21;0;51;3.04;6.88;7.89;6.91;11.40;39.07;-1.66
270020;AL;2011;27043000;0;1;14.01;0;51;3.04;6.82;7.85;7.42;11.22;42.58;-1.56
270020;AL;2010;27043000;0;1;14.12;0;51;3.04;5.72;7.83;7.99;11.16;80.68;-1.39
270030;AL;2012;27043000;0;1;16.97;0;85;6.39;8.89;11.03;8.75;10.84;21.89;0.78
270030;AL;2011;27043000;0;1;16.74;0;85;6.39;8.85;10.96;8.82;10.83;25.38;0.76
270030;AL;2010;27043000;0;1;16.84;0;85;6.38;8.78;10.90;8.32;10.66;28.94;0.76
270060;AL;2012;27043000;0;1;14.41;0;86;3.93;6.43;8.19;5.42;11.14;69.33;-0.97
270060;AL;2011;27043000;0;1;13.97;0;86;3.93;6.33;8.16;7.05;11.10;69.65;-1.17
270060;AL;2010;27043000;0;1;13.97;0;86;3.65;6.31;8.11;6.99;11.13;68.71;-1.14
270070;AL;2012;27043000;0;1;14.46;0;71;4.16;5.91;8.18;6.79;11.08;74.53;0.68
270070;AL;2011;27043000;0;1;14.26;0;71;4.14;5.93;8.11;6.99;11.00;74.62;0.77
270070;AL;2010;27043000;0;1;14.24;0;71;3.22;5.90;8.06;6.36;10.92;78.51;0.70
270090;AL;2012;27043000;0;1;12.80;0;17;3.48;4.12;6.47;6.29;11.12;79.49;0.98
270090;AL;2011;27043000;0;1;12.57;0;17;3.48;4.28;6.40;6.44;11.03;70.68;0.81
270090;AL;2010;27043000;0;1;12.50;0;17;1.28;4.21;6.26;4.88;10.44;69.01;0.78
270120;AL;2012;27043000;0;1;12.45;0;53;3.53;4.04;6.58;6.70;11.16;69.87;0.99
270120;AL;2011;27043000;0;1;12.28;0;53;3.53;4.21;6.56;6.78;11.14;55.74;1.16
270120;AL;2010;27043000;0;1;12.46;0;53;2.90;4.28;6.54;5.05;11.11;57.75;1.04
270130;AL;2012;27013011;1;0;14.24;0;81;3.65;6.60;8.59;4.32;10.22;27.21;-1.02
270130;AL;2011;27013011;1;0;14.17;0;81;3.55;6.74;8.50;4.52;10.15;15.12;-1.02
270130;AL;2010;27013011;1;0;14.02;0;81;3.54;6.47;8.48;4.49;9.92;34.67;-1.05
270140;AL;2012;27043000;0;1;13.13;0;44;2.43;5.04;7.43;7.51;10.76;59.46;-1.11
270140;AL;2011;27043000;0;1;12.71;0;44;2.43;4.98;7.40;7.41;10.76;60.53;-0.92
270140;AL;2010;27043000;0;1;12.90;0;44;2.43;4.95;7.37;3.30;11.10;63.23;-0.73
270150;AL;2012;27043000;0;1;13.73;0;46;3.06;5.65;7.86;7.57;10.97;48.67;0.43
270150;AL;2011;27043000;0;1;13.02;0;46;3.06;5.59;7.83;7.43;10.87;52.95;0.25
270150;AL;2010;27043000;0;1;13.16;0;46;3.06;5.64;7.87;6.71;10.68;66.38;-0.05
270160;AL;2012;27043000;0;1;13.49;0;32;2.60;5.29;7.55;7.75;10.48;-23.13;2.37
270160;AL;2011;27043000;0;1;13.23;0;32;2.60;5.18;7.49;6.53;10.44;-11.47;2.25
270160;AL;2010;27043000;0;1;13.34;0;32;2.60;5.10;7.42;6.99;10.14;1.77;2.37
270170;AL;2012;27043000;0;1;13.88;0;74;3.19;5.90;7.97;6.89;11.19;53.96;-0.87
270170;AL;2011;27043000;0;1;13.55;0;74;3.19;5.88;7.88;7.67;11.06;51.59;-0.76
270170;AL;2010;27043000;0;1;13.69;0;74;3.19;5.64;7.85;8.28;10.95;62.74;-0.63
270180;AL;2012;27043000;0;1;13.59;0;57;3.36;4.96;7.31;7.77;10.78;75.62;0.50
270180;AL;2011;27043000;0;1;13.29;0;57;3.36;5.11;7.26;6.39;10.63;69.04;0.58
270180;AL;2010;27043000;0;1;13.36;0;57;2.08;4.96;7.17;6.22;10.49;71.94;0.54
270190;AL;2011;27019011;0;0;11.97;0;63;2.30;5.74;7.24;5.63;8.77;19.73;-0.27
270190;AL;2010;27019011;0;0;11.95;0;63;2.30;5.70;7.23;5.63;8.84;20.26;-0.25
270200;AL;2012;27043000;0;1;12.40;0;34;2.34;4.77;7.15;5.69;11.22;71.46;0.82
270200;AL;2011;27043000;0;1;11.99;0;34;2.34;4.76;7.13;6.08;11.13;73.63;0.72
270200;AL;2010;27043000;0;1;12.16;0;34;2.34;4.83;7.10;5.19;11.03;68.98;0.78
270210;AL;2012;27043000;0;1;13.35;0;77;3.15;6.15;8.26;5.90;10.41;49.71;-3.51
270220;AL;2012;27043000;0;1;12.74;0;90;2.26;4.97;7.15;5.51;10.71;32.80;-0.48
270220;AL;2011;27043000;0;1;12.38;0;90;2.26;4.93;7.13;5.77;10.93;36.17;-0.39
270220;AL;2010;27043000;0;1;12.71;0;90;2.26;4.94;7.09;6.09;10.91;22.12;-0.05
270230;AL;2012;27023011;1;0;13.81;0;88;5.22;7.94;9.37;7.09;11.01;36.87;-1.11
270230;AL;2011;27023011;1;0;13.51;0;88;5.01;7.90;9.36;7.09;11.00;10.00;-0.73
270235;AL;2012;27043000;0;1;13.41;0;32;5.02;6.05;8.41;6.50;10.33;70.26;0.77
270235;AL;2011;27043000;0;1;13.01;0;32;5.02;6.04;8.42;6.92;10.36;70.50;0.68
270235;AL;2010;27043000;0;1;13.19;0;32;5.02;6.03;8.36;7.47;9.96;73.74;0.42
270240;AL;2012;27043000;0;1;16.31;0;72;4.96;8.26;9.57;8.91;11.11;64.84;-0.76
270240;AL;2011;27043000;0;1;16.03;0;72;4.96;8.31;9.51;8.10;11.01;53.21;-0.62
270240;AL;2010;27043000;0;1;16.09;0;72;4.88;7.43;9.44;7.52;10.64;83.48;-0.76
270250;AL;2012;27043000;0;1;12.81;0;47;3.27;4.73;7.13;6.93;9.15;65.26;0.25
270250;AL;2011;27043000;0;1;12.62;0;47;3.27;4.86;7.07;7.44;10.15;55.97;0.26
270250;AL;2010;27043000;0;1;12.72;0;47;2.33;4.89;6.97;6.23;10.60;60.22;0.35
270255;AL;2012;27043000;0;1;13.40;0;23;2.81;5.50;7.74;7.54;10.90;37.99;-1.83
270255;AL;2011;27043000;0;1;13.17;0;23;2.80;5.71;7.69;7.49;10.75;25.50;-1.90
270255;AL;2010;27043000;0;1;13.28;0;23;2.80;5.34;7.60;8.59;10.77;47.08;0.22
270260;AL;2012;27043000;0;1;13.77;0;16;2.53;5.67;7.58;6.43;11.43;-2.56;1.30
270260;AL;2011;27043000;0;1;13.41;0;16;2.53;5.63;7.54;6.58;11.32;-0.27;1.19
270260;AL;2010;27043000;0;1;13.51;0;16;2.53;5.55;7.52;6.16;11.05;1.00;1.21
270280;AL;2012;27043000;0;1;15.25;0;65;2.57;5.33;7.63;5.53;10.61;46.34;-4.61
270280;AL;2011;27043000;0;1;14.93;0;65;2.57;5.30;7.61;5.55;10.66;57.76;-4.61
270290;AL;2012;27043000;0;1;13.85;0;31;4.03;6.23;8.58;8.02;10.97;13.72;0.34
270290;AL;2011;27043000;0;1;13.87;0;31;4.03;6.24;8.55;7.59;10.83;17.24;0.26
270290;AL;2010;27043000;0;1;13.96;0;31;4.03;6.23;8.52;7.26;10.62;1.51;0.36
270300;AL;2012;27043000;0;1;14.14;0;62;2.70;5.41;7.59;5.72;11.23;32.92;-0.02
270300;AL;2011;27043000;0;1;13.41;0;62;2.65;5.31;7.54;5.32;10.94;41.39;-0.06
270300;AL;2010;27043000;0;1;13.60;0;62;2.58;5.22;7.47;6.04;11.20;39.96;0.10
270310;AL;2012;27043000;0;1;13.18;0;25;5.01;5.97;8.44;6.11;11.26;28.34;1.33
270310;AL;2011;27043000;0;1;12.80;0;25;5.01;6.01;8.42;7.26;11.43;57.22;0.71
270310;AL;2010;27043000;0;1;13.19;0;25;5.01;6.01;8.37;7.61;11.32;51.77;0.74
270320;AL;2012;27043000;0;1;13.68;0;21;2.98;5.58;7.65;6.72;11.17;54.39;0.14
270320;AL;2011;27043000;0;1;13.44;0;21;2.98;5.55;7.62;6.66;11.05;54.82;0.09
270320;AL;2010;27043000;0;1;13.49;0;21;2.32;5.47;7.56;6.35;11.08;56.62;0.13
270330;AL;2012;27043000;0;1;13.44;0;37;2.51;5.65;7.86;8.05;7.26;47.96;1.79
270330;AL;2011;27043000;0;1;13.19;0;37;2.44;5.58;7.78;6.36;10.48;50.84;1.62
270330;AL;2010;27043000;0;1;13.51;0;37;2.44;5.47;7.71;6.34;10.88;35.63;1.84
270340;AL;2012;27043000;0;1;13.85;0;56;3.70;5.64;7.21;6.45;11.50;80.04;0.95
270340;AL;2011;27043000;0;1;13.04;0;56;3.61;5.25;7.16;5.92;11.17;86.20;0.93
270340;AL;2010;27043000;0;1;13.10;0;56;2.09;5.18;7.07;6.10;11.28;86.41;0.90
270350;AL;2012;27043000;0;1;12.75;0;62;2.18;4.86;6.96;5.46;11.07;43.60;-1.08
270350;AL;2011;27043000;0;1;12.56;0;62;1.85;4.79;6.92;5.44;10.60;45.99;-1.05
270350;AL;2010;27043000;0;1;12.39;0;62;1.85;4.74;6.87;5.42;10.67;48.27;-1.83
270360;AL;2012;27043000;0;1;12.35;0;43;2.45;4.83;6.93;4.20;10.03;37.14;-0.54
270360;AL;2011;27043000;0;1;12.26;0;43;2.45;4.80;6.88;5.42;10.69;38.98;-0.56
270360;AL;2010;27043000;0;1;12.50;0;43;2.45;4.72;6.80;5.50;11.04;43.54;-0.80
270370;AL;2012;27043000;0;1;12.23;0;52;3.96;4.38;6.85;6.81;10.95;73.47;0.36
270370;AL;2011;27043000;0;1;11.77;0;52;3.96;4.73;6.98;6.62;10.93;58.45;0.34
270370;AL;2010;27043000;0;1;11.87;0;52;2.10;4.73;6.96;4.79;11.12;55.89;0.17
270375;AL;2012;27037512;0;0;12.86;0;24;3.07;6.85;7.77;5.30;10.35;36.63;-0.49
270380;AL;2012;27043000;0;1;13.57;0;64;3.14;6.16;8.23;6.53;11.02;32.28;-1.39
270380;AL;2011;27043000;0;1;13.43;0;64;3.14;6.13;8.21;6.45;10.83;40.27;-1.39
270380;AL;2010;27043000;0;1;13.52;0;64;3.14;6.07;8.17;6.80;10.66;39.12;-1.20
270390;AL;2012;27043000;0;1;12.83;0;67;1.49;4.48;6.55;3.14;11.99;51.04;-1.61
270390;AL;2011;27043000;0;1;12.26;0;67;1.49;4.42;6.49;5.63;11.20;48.85;-1.51
270390;AL;2010;27043000;0;1;12.32;0;67;1.44;4.37;6.45;5.55;11.09;52.59;-1.24
270400;AL;2012;27043000;0;1;13.85;0;33;2.86;6.39;7.69;6.03;10.87;70.74;-0.29
270400;AL;2011;27043000;0;1;14.21;0;33;2.86;5.91;7.61;6.29;11.04;81.60;-0.34
270400;AL;2010;27043000;0;1;14.10;0;33;2.86;5.52;7.82;5.72;10.59;85.20;-0.05
270410;AL;2012;27043000;0;1;13.68;0;50;3.32;6.03;8.41;6.18;11.34;26.70;0.81
270410;AL;2011;27043000;0;1;13.25;0;50;3.32;5.96;8.35;6.63;11.30;30.64;0.63
270410;AL;2010;27043000;0;1;13.37;0;50;3.32;5.91;8.30;6.50;11.19;30.72;0.71
270420;AL;2010;27042011;1;0;11.95;0;8;3.58;6.62;7.66;5.78;8.97;0.00;-2.21
270430;AL;2012;27043000;1;1;18.73;0;100;7.27;10.24;12.07;9.52;11.08;61.21;-0.53
270430;AL;2011;27043000;1;1;18.44;0;100;7.27;10.23;12.03;10.61;10.97;60.48;-0.53
270440;AL;2012;27043000;0;1;13.76;0;49;4.31;5.46;7.84;6.43;10.69;67.35;1.23
270440;AL;2011;27043000;0;1;13.26;0;49;4.31;5.61;7.80;7.63;10.41;61.87;1.19
270440;AL;2010;27043000;0;1;13.52;0;49;3.24;5.60;7.77;6.42;10.84;67.81;1.14
270450;AL;2012;27043000;1;1;14.28;0;65;3.31;6.38;8.42;5.67;11.47;55.03;-1.14
270450;AL;2011;27043000;1;1;13.72;0;65;3.31;6.32;8.36;6.61;11.22;48.14;-0.67
270450;AL;2010;27043000;1;1;13.84;0;65;3.31;6.24;8.31;6.73;11.07;62.52;-0.71
270460;AL;2012;27043000;0;1;13.47;0;50;3.45;5.11;7.42;7.21;10.76;64.69;1.04
270460;AL;2011;27043000;0;1;13.08;0;50;3.37;5.12;7.31;6.56;10.52;62.88;0.83
270460;AL;2010;27043000;0;1;13.10;0;50;2.24;4.94;7.11;5.89;10.54;68.09;0.90
270470;AL;2012;27047011;1;0;15.36;0;94;4.67;7.53;9.79;8.38;11.17;63.77;-1.08
270470;AL;2011;27047011;1;0;15.25;0;94;4.67;7.48;9.75;8.43;11.08;63.84;-1.35
270470;AL;2010;27047011;1;0;15.19;0;94;4.67;7.38;9.70;8.30;11.01;62.87;-1.05
270480;AL;2012;27043000;0;1;12.86;0;73;3.14;5.83;7.96;7.66;11.43;49.04;-0.54
270480;AL;2011;27043000;0;1;12.44;0;73;3.13;5.80;7.93;7.72;11.31;45.96;-0.63
270480;AL;2010;27043000;0;1;12.71;0;73;3.13;5.76;7.91;8.01;11.22;35.87;-0.71
270490;AL;2012;27043000;0;1;13.01;0;45;1.48;4.34;6.44;5.56;11.03;10.77;-0.07
270490;AL;2011;27043000;0;1;12.57;0;45;1.48;4.28;6.40;5.55;10.93;18.74;-0.39
270490;AL;2010;27043000;0;1;12.67;0;45;1.48;4.22;6.35;6.53;10.83;20.80;0.15
270500;AL;2012;27043000;0;1;14.72;0;23;3.30;5.67;7.90;8.36;10.89;24.25;2.12
270500;AL;2011;27043000;0;1;14.49;0;23;3.24;5.60;7.86;7.23;10.76;47.39;1.94
270500;AL;2010;27043000;0;1;14.56;0;23;3.24;5.54;7.82;5.51;10.78;25.24;2.14
270510;AL;2012;27043000;0;1;13.76;0;93;3.08;5.90;8.03;6.16;10.92;49.59;-1.02
270510;AL;2011;27043000;0;1;13.36;0;93;3.08;5.89;8.02;5.90;10.76;33.67;-0.87
270510;AL;2010;27043000;0;1;13.50;0;93;3.05;5.87;8.00;5.96;10.61;36.60;-0.97
270520;AL;2010;27043000;0;1;13.03;0;91;2.84;5.64;7.98;6.21;7.50;57.53;-0.33
270530;AL;2012;27043000;0;1;12.06;0;43;1.72;4.32;6.49;7.08;11.16;10.73;-1.71
270530;AL;2011;27043000;0;1;11.88;0;43;1.70;4.23;6.42;6.34;11.16;1.44;-1.66
270530;AL;2010;27043000;0;1;12.16;0;43;1.65;4.14;6.33;7.10;11.24;6.24;0.12
270540;AL;2012;27043000;0;1;11.94;0;36;3.34;5.00;7.21;6.44;10.89;69.37;0.52
270540;AL;2011;27043000;0;1;12.00;0;36;3.10;5.15;7.17;5.89;10.74;63.33;0.54
270540;AL;2010;27043000;0;1;11.59;0;36;2.15;5.11;7.11;5.19;11.34;64.47;0.51
270550;AL;2012;27043000;0;1;13.91;0;83;3.47;5.68;8.23;5.55;11.18;34.35;-1.14
270550;AL;2011;27043000;0;1;13.58;0;83;2.77;5.56;7.78;5.30;11.10;38.99;-1.83
270550;AL;2010;27043000;0;1;13.70;0;83;2.77;5.60;7.76;6.27;10.99;35.76;-1.97
270560;AL;2012;27043000;0;1;13.54;0;61;2.16;5.29;7.50;6.36;10.60;60.66;-0.43
270560;AL;2011;27043000;0;1;13.25;0;61;2.16;5.11;7.39;5.86;10.76;58.36;-0.26
270560;AL;2010;27043000;0;1;13.37;0;61;2.14;4.94;7.22;6.35;11.06;63.71;-0.26
270570;AL;2012;27043000;0;1;14.96;0;69;4.49;6.83;8.69;5.61;10.74;65.00;0.67
270570;AL;2011;27043000;0;1;14.88;0;69;4.49;6.60;8.65;7.69;11.35;71.79;0.74
270570;AL;2010;27043000;0;1;14.83;0;69;3.65;6.57;8.60;7.18;10.54;72.39;0.71
270580;AL;2012;27043000;0;1;13.94;0;47;2.34;5.21;7.32;8.23;10.69;78.87;-1.71
270580;AL;2011;27043000;0;1;13.70;0;47;2.34;5.13;7.26;5.83;10.69;79.15;-1.61
270580;AL;2010;27043000;0;1;13.80;0;47;2.34;5.03;7.18;5.95;10.37;78.03;-1.66
270590;AL;2011;27043000;0;1;11.39;0;24;2.20;4.37;6.63;6.20;9.97;37.48;0.23
270590;AL;2010;27043000;0;1;11.71;0;24;2.20;4.34;6.56;5.97;10.03;32.69;0.31
270600;AL;2011;27043000;0;1;11.85;0;28;3.11;5.30;7.43;5.97;10.89;63.03;0.47
270600;AL;2010;27043000;0;1;12.14;0;28;2.14;5.23;7.32;6.34;10.58;66.83;0.50
270610;AL;2012;27043000;0;1;13.38;0;63;3.33;4.98;7.41;5.50;10.87;60.91;0.82
270610;AL;2011;27043000;0;1;13.36;0;63;3.33;5.08;7.27;6.20;10.72;56.32;0.70
270610;AL;2010;27043000;0;1;13.58;0;63;2.94;5.01;7.19;6.25;10.45;53.94;0.57
270620;AL;2010;27043000;0;1;11.54;0;63;2.14;4.85;7.00;6.17;6.48;77.65;0.70
270630;AL;2012;27043000;1;1;15.93;0;73;5.49;7.85;9.86;9.83;10.97;46.58;0.43
270630;AL;2011;27043000;0;1;15.67;0;73;5.36;7.79;9.79;9.40;10.79;29.43;0.63
270630;AL;2010;27043000;0;1;15.75;0;73;5.36;7.75;9.73;9.60;10.69;35.55;0.20
270640;AL;2012;27064011;0;0;14.53;0;45;4.43;6.99;8.87;4.58;10.60;41.24;-1.77
270640;AL;2011;27064011;0;0;14.28;0;45;4.42;6.88;8.83;2.30;10.36;44.60;-1.47
270642;AL;2012;27043000;0;1;13.40;0;27;2.74;5.54;7.67;7.59;11.05;2.20;1.54
270642;AL;2011;27043000;0;1;13.11;0;27;2.71;5.43;7.58;5.12;11.10;2.71;1.42
270642;AL;2010;27043000;0;1;13.23;0;27;2.71;5.33;7.51;5.58;10.76;15.17;1.52
270644;AL;2012;27043000;0;1;13.30;0;89;3.28;5.88;8.03;6.03;10.64;59.07;-0.78
270644;AL;2011;27043000;0;1;12.82;0;89;3.23;5.83;8.02;6.55;10.83;58.84;-0.69
270644;AL;2010;27043000;0;1;13.16;0;89;3.23;5.82;8.00;6.40;10.76;63.77;-0.78
270650;AL;2012;27043000;0;1;13.24;0;49;2.53;5.17;7.50;5.74;10.98;31.55;-0.51
270650;AL;2011;27043000;0;1;13.03;0;49;2.53;5.12;7.45;5.88;10.86;31.99;-0.43
270650;AL;2010;27043000;0;1;13.09;0;49;2.53;5.10;7.42;6.07;10.91;27.42;-0.54
270660;AL;2012;27043000;0;1;13.61;0;66;2.86;5.52;7.62;7.88;11.30;40.51;-1.24
270660;AL;2011;27043000;0;1;13.40;0;66;2.76;5.50;7.61;7.01;11.27;50.74;-1.61
270660;AL;2010;27043000;0;1;13.38;0;66;2.71;5.41;7.59;8.08;11.17;54.80;-1.66
270670;AL;2012;27067011;0;0;15.48;0;75;4.80;8.10;9.76;5.30;10.17;27.65;-0.80
270670;AL;2011;27067011;0;0;15.36;0;75;4.79;8.01;9.68;5.30;10.45;29.38;-0.80
270680;AL;2012;27043000;0;1;13.36;0;61;3.18;5.94;8.04;6.32;10.93;60.63;-0.76
270680;AL;2011;27043000;0;1;13.39;0;61;3.18;5.85;8.02;6.38;10.80;58.13;-0.84
270680;AL;2010;27043000;0;1;13.61;0;61;3.18;5.79;7.94;5.68;10.80;61.44;-0.87
270690;AL;2012;27069011;0;0;12.94;0;95;3.58;6.80;8.18;5.88;9.70;12.37;-0.87
270690;AL;2012;27043000;0;1;13.93;0;95;3.85;6.53;8.65;6.32;11.55;47.16;-0.62
270690;AL;2011;27043000;0;1;13.49;0;95;3.85;6.52;8.62;6.55;11.12;51.40;-0.82
270690;AL;2010;27043000;0;1;13.76;0;95;3.85;6.52;8.60;6.71;10.78;60.17;-0.94
270710;AL;2012;27043000;1;1;14.69;0;57;3.49;6.41;8.39;8.53;10.80;76.27;0.22
270710;AL;2011;27043000;1;1;14.75;0;57;3.40;6.32;8.34;6.43;10.58;79.32;0.06
270710;AL;2010;27043000;1;1;14.92;0;57;3.40;6.22;8.29;5.75;10.97;81.36;0.02
270720;AL;2010;27043000;0;1;13.01;0;15;1.65;4.45;6.61;5.70;7.58;74.43;0.89
270740;AL;2012;27043000;0;1;13.44;0;57;1.84;4.84;6.92;4.84;10.76;53.21;-1.11
270740;AL;2011;27043000;0;1;13.32;0;57;1.84;4.79;6.86;6.04;10.84;54.08;-1.17
270740;AL;2010;27043000;0;1;13.26;0;57;1.84;4.74;6.84;6.07;10.89;50.47;-1.08
270760;AL;2010;27043000;0;1;14.06;0;56;2.85;5.63;7.67;7.97;10.85;95.71;-2.30
270770;AL;2012;27043000;0;1;15.95;0;82;5.22;7.43;9.71;7.77;11.04;49.59;-0.15
270770;AL;2011;27043000;0;1;15.75;0;82;5.14;7.41;9.68;7.86;11.03;50.03;-0.30
270770;AL;2010;27043000;0;1;15.70;0;82;5.14;7.36;9.46;8.07;11.11;53.26;-0.29
270790;AL;2012;27043000;0;1;13.33;0;90;2.48;5.25;7.33;5.32;11.08;40.32;-0.63
270790;AL;2011;27043000;0;1;12.99;0;90;2.44;5.20;7.30;5.55;10.97;47.07;-0.63
270790;AL;2010;27043000;0;1;13.11;0;90;2.41;5.21;7.27;6.04;10.85;45.14;-0.63
270800;AL;2012;27043000;0;1;15.80;0;61;5.26;7.26;9.29;5.86;11.09;65.50;0.77
270800;AL;2011;27043000;0;1;15.40;0;61;5.26;7.26;9.25;7.39;11.10;64.12;0.69
270800;AL;2010;27043000;0;1;15.35;0;61;4.18;7.20;9.20;8.19;10.73;68.63;0.56
270820;AL;2012;27043000;0;1;14.54;0;47;2.32;5.16;7.27;6.10;11.03;98.84;-3.91
270820;AL;2011;27043000;0;1;15.00;0;47;2.32;9.50;7.21;6.12;10.99;11.32;-3.91
270820;AL;2010;27043000;0;1;15.03;0;47;2.32;5.06;7.18;6.11;10.88;98.95;-4.61
270830;AL;2012;27083011;1;0;13.57;0;68;3.93;6.51;8.55;7.50;9.42;21.05;-0.92
270840;AL;2012;27043000;0;1;14.14;0;39;4.88;6.13;8.39;6.40;11.15;70.94;0.81
270840;AL;2011;27043000;0;1;14.12;0;39;4.84;6.28;8.34;7.01;11.23;64.79;0.62
270840;AL;2010;27043000;0;1;14.29;0;39;3.16;6.14;8.20;7.41;10.83;67.92;0.54
270860;AL;2012;27086011;1;0;15.39;0;96;5.11;7.57;9.76;9.14;10.67;42.27;-0.92
270860;AL;2011;27086011;1;0;15.34;0;96;5.11;7.54;9.76;8.86;10.45;71.94;-2.12
